id,detail_id,option_text,type,score_value,option_type_id
4610,281,عدم اشراك ضباط ومنتسبي المركز بدورات تطويرية في مجال عمليات الشرطة والتحقيق الجنائي.,negative,0.00,2
4611,281,اخرى,negative,0.00,2
4612,284,تم الاعداد الورقي الخطي الدفاع المحلي واطفاء الحريق واجراء ممارسات عليها تم العمل على الاعداد الورقي لخطتي الدفاع المحلي واطفاء الحرائق.,positive,0.00,1
4613,284,وتوافر وسائل إطفاء الحرائق .,positive,0.00,1
4614,284,العمل  على الاعداد الورقي لخطتي الدفاع المحلي واطفاء الحرائق.,positive,0.00,1
4615,284,اجراء الممارسات الدورية على خطتي الدفاع المحلي واطفاء الحرائق.,positive,0.00,1
4616,284,توفر وسائل اطفاء الحرائق والمستلزمات الاسعاف الأولية.,positive,0.00,1
4617,284,عدم العمل  على الاعداد الورقي لخطتي الدفاع المحلي واطفاء الحرائق.,negative,0.00,2
4618,284,عدم توفر وسائل اطفاء الحرائق والمستلزمات الاسعاف الأولية.,negative,0.00,2
4619,284,عدم اجراء الممارسات الدورية على خطتي الدفاع المحلي واطفاء الحرائق.,negative,0.00,2
4707,316,تفتيش المفارز المنتشرة ضمن السيطرات الرئيسية يومياً من قبل ضباط الخفر وشرح ذلك في السجلات الخاصة بهم.,positive,0.00,1
4708,316,عرض النشاطات اليومية الخاصة بهم واستبدال غير الكفؤين.,positive,0.00,1
4709,317,وجود اتصالات مستمرة مع الجهات الأمنية الاخرى وضمن الاختصاص.,positive,0.00,1
4710,317,عقد الندوات الشهرية ونصف الشهرية لتبادل المعلومات الأمنية.,positive,0.00,1
4924,743,جمع المعلومات الاستخبارية عن شبكات التجارة المخدرات وطرق تهريبها.,positive,0.00,1
4925,743,نشر المفارز وتزويدهم بالمعلومات المتوفرة عنهم لغرض متابعتها.,positive,0.00,1
4926,743,تفعيل المصادر السرية والمتعاونين لغرض جمع المعلومات عن تجار المخدرات.,positive,0.00,1
4927,744,متابعة الناقلين التجاريين المجازين لنقل المواد المخدرة لعد استغلالهم بالتهريب والمتاجرة.,positive,0.00,1
2600,635,اخرى,negative,,2
4620,285,عدم وجود خطة خطة لاجراء الرمي السنوي.,negative,0.00,2
3423,257,ملم المام كامل بالمهام والواجبات والصلاحيات.,positive,0.00,1
3424,257,المام متوسط يحتاج الى توصية وتطوير.,negative,0.00,2
3425,257,غير ملم بالمهام والواجبات والصلاحيات.,negative,0.00,2
3426,258,وجود اعداد ورقي لخطتي (الدفاع المحلي، إطفاء الحرائق) واجراء الممارسات عليها.,positive,0.00,1
3427,258,الخطة مكتملة ومحدثة وتم تنفيذها بكفائه عالية.,positive,0.00,1
4621,285,عدم وجود مواقف واحصائيات بنتائج الرمي السنوي لكافة المنتسبين.,negative,0.00,2
3428,258,الخطة متوفرة وتنفيذ شبه جيد مع  بعض الملاحظات وقلة اجهزة مطافئ الحريق.,impediment,0.00,3
3429,258,الخطة غير مكتملة وتنفيذها ضعيف وعدم المام المعنين بالخطة واماكن توزيعهم.,negative,0.00,2
3430,259,السجلات والاضابير الإدارية مفتوحة ومدامة وفق اسس التفتيش.,positive,0.00,1
3431,259,السجلات مفتوحة ومدامة وفق اسس التفتيش.,positive,0.00,1
3432,259,السجلات مفتوحة وغير مدامة.,negative,0.00,2
3433,259,السجلات غير مفتوحة.,negative,0.00,2
4622,285,وجود مواقف واحصائيات بنتائج الرمي السنوي لكافة المنتسبين.,positive,0.00,1
4198,706,يتم اجراء التدقيق الأمني لأمناء المشجب ومأموري الموقف. (0 د),positive,0.00,1
4199,706,عدم وجود التدقيق الأمني لأمناء المشجب ومأموري الموقف. (0 د),negative,0.00,2
4200,706,عدم وجود التدقيق الأمني لأمناء المشجب ومأموري الموقف وعدم وجود كفالات ضامنة لهم. (0 د),negative,0.00,2
4623,285,وجود خطة لاجراء الرمي السنوي.,positive,0.00,1
4624,285,اشراك الضباط والمنتسبين بالرمي السنوي.,positive,0.00,1
4625,285,عدم اشراك الضباط والمنتسبين بالرمي السنوي.,negative,0.00,2
4626,288,الاجهزة اللاسلكية كافية وصالحة للعمل..,positive,0.00,1
4627,288,توفر اجهزة اتصالات سلكية ولا سلكية كافية وصالحة للعمل.,positive,0.00,1
4628,288,وجود اجهزة اتصالات سلكية ولا سلكية غير صالحة للعمل.,negative,0.00,2
4629,288,لا توفر اجهزة اتصالات سلكية ولا سلكية كافية.,impediment,0.00,3
4630,289,فتح سجلات السيطرة ومدامة بشكل جيد.,positive,0.00,1
4631,289,تم فتح سجلات السيطرة ولكن غير مدامة.,negative,0.00,2
4632,289,عدم فتح سجلات السيطرة المطلوبة.,negative,0.00,2
4633,290,يتم العمل بالكلمات الجفرية.,positive,0.00,1
511,110,عدم متابعة المواقف (الاشخاص، الاسلحة، الاعتدة، الآليات) حيث لم يذكر الموقف بصورة صحيحة الخاص بالملاك البشري.,negative,,2
512,110,المقابلة بالمواقف الشهرية للدوائر ضمن المنطقة الأمنية كل أسبوعين مع معاون شؤون العمليات ويقوم بدوره بالمقابلة مع عمليات القيادة كل (15) يوم.,positive,,1
513,110,ضعف متابعة مواقف (الاشخاص، الاسلحة، الاعتدة، الآليات، الاحصاء الجنائي).,negative,,2
514,110,لديه متابعة للمواقف (الاشخاص، الاسلحة، الاعتدة، الآليات، الاحصاء الجنائي).,positive,,1
4634,290,لا يتم العمل بالكلمات الجفرية.,negative,0.00,2
4928,745,الاهتمام بالتقارير الاستخبارية الواردة عن الدوائر الأمنية الاخرى.,positive,0.00,1
4929,745,جمع وتحليل المعلومات الواردة بالتقارير الاستخبارية.,positive,0.00,1
4930,745,نسبة المتحقق منها وغير المتحقق.,positive,0.00,1
4931,746,الاعتماد على تقارير مفارز الاستخبارات المنتشرة.,positive,0.00,1
4932,746,تحليل تقارير المصادر المتعاونين.,positive,0.00,1
4635,292,عدم فتح السجلات المطلوبة ومكان حفظ المستندات.,negative,0.00,2
4636,292,السجلات المطلوبة مفتوحة ووجود مكان مناسب لحفظ المستندات.,positive,0.00,1
4637,292,فتح السجلات المطلوبة ومكان مناسب لحفظ المستندات.,positive,0.00,1
4638,292,بعض السجلات المطلوبة مدامة.,negative,0.00,2
4639,292,عدم فتح السجلات المطلوبة.,negative,0.00,2
3290,207,المعرفة بالواجبات اليومية وتنفيذها وفق دليل عمل المركز.,negative,0.00,2
3291,207,معرفة جيدة بالواجبات اليومية وتنفيذها وفق دليل عمل المركز.,positive,0.00,1
3292,207,توجد معرفة جيدة بالواجبات وتنفيذها بشكل مقبول,positive,0.00,1
4640,293,توفر المسالح الخشبية وادامة دورية الاسلحة.,positive,0.00,1
3293,207,القدرة على إصدار الأوامر والتوجيهات بشكل فعال.,positive,0.00,1
3294,207,معرفة جيدة بالواجبات اليومية وتنفيذها وفق دليل عمل المركز.,positive,0.00,1
3295,207,فعّال في إصدار الأوامر والتوجيهات بشكل فعال.,positive,0.00,1
3296,207,التزام الضباط والمنتسبين بالقيافة العسكرية والمظهر اللائق.,positive,0.00,1
3297,207,التزام بشكل فوق المتوسط للضباط والمنتسبين بالقيافة العسكرية والمظهر اللائق.,negative,0.00,2
3298,682,لدية الإلمام بقانون الدفاع المدني رقم (44) لسنة 2013. (0 د),positive,0.00,1
3299,682,غير ملم بقانون الدفاع المدني رقم (44) لسنة 2013. (0 د),negative,0.00,2
3300,682,إلمام ضعيف بقانون الدفاع المدني رقم 44 لسنة 2013 ويحتاج توجيه. (0 د),negative,0.00,2
3301,682,معرفة كاملة بالواجبات اليومية وتنفيذها وفق دليل عمل المركز.,positive,0.00,1
4641,293,تتوفر المسالح الخشبية وعدم ادامة الاسلحة بشكل جيد.,negative,0.00,2
4642,293,لا تتوفر المسالح الخشبية وعدم ادامة الاسلحة.,negative,0.00,2
4643,294,الأسلحة والاعتدة متكاملة قياساً بالموجود البشري مع توفر الأسلحة الساندة.,positive,0.00,1
4644,294,عدم تكامل الأسلحة نوع كلاشنكوف والمسدسات قياساً بالموجود البشري.,negative,0.00,2
4645,294,تكامل الأسلحة والاعتدة قياساً بالموجود البشري مع توفر الأسلحة الساندة.,positive,0.00,1
3307,208,السجلات الإدارية متوفرة بشكل كامل واللوحات التعريفية (المواقف، الهيكل التنظيمي، الواجبات).,positive,0.00,1
3308,208,تطبيق نظام البديلين وسجل الايجاز مطبق مع ملاحظات بسيطة.,positive,0.00,1
3309,208,أرشفة الوثائق والبريد الرسمي إلكترونياً وورقياً.,positive,0.00,1
4646,294,تكامل الأسلحة والاعتدة قياساً بالموجود البشري وعدم توفر الأسلحة الساندة.,negative,0.00,2
3310,208,لا توجد أرشفة للبريد والوثائق الرسمية إلكترونياً وورقياً.,negative,0.00,2
3311,208,متابعة الأوامر الإدارية والقانونية.,positive,0.00,1
3312,208,متابعة الأوامر الإدارية والقانونية بشكل كامل ودقيق.,positive,0.00,1
3434,260,العمل بنظام المناوبة (نظام البديل) وتغطية الخدمة.,positive,0.00,1
3435,260,العمل بنظام البديل.,positive,0.00,1
3436,260,لا يعمل بنظام البديل.,negative,0.00,2
3437,261,عمل المفارز مع خطة الأمن المناطقي متكاملة وارتباطها بمدير المنطقة.,positive,0.00,1
3438,261,تكامل عمل المفارز مع خطة عمل المناطق وارتباطها بمدير المنطقة,positive,0.00,1
3439,261,عدم تكامل عمل المفارز وعدم توزيعها وفق خطة الامن المناطقي وعدم ارتباطها بمدير المنطقة.,negative,0.00,2
4647,294,عدم تكامل الأسلحة والاعتدة قياساً بالموجود البشري وعدم توفر الأسلحة الساندة.,negative,0.00,2
4648,297,اخرى,negative,0.00,2
4649,297,وجود جدية بتنفيذ أوامر القبض والمذكرات القضائية الصادرة من المحاكم المختصة وقد بلغ مجموع الكلي لاوامر القبض لجميع الأعوام (1067) المنفذة منها(1045) والمتبقي (22) أمر قبض رهن التحقيق بنسبة انجاز (95%).,positive,0.00,1
4650,297,وجود جدية في تنفيذ أوامر القبض والمذكرات القضائية الصادرة من المحاكم بنسبة (%).,positive,0.00,1
4651,297,عدم الجدية في تنفيذ أوامر القبض والمذكرات القضائية الصادرة من المحاكم والنسبة المتحققة هي (%).,negative,0.00,2
4652,297,عدم تنفيذ أوامر القبض والمذكرات القضائية الصادرة من المحاكم بنسبة (%).,negative,0.00,2
4653,298,نسبة عالية في حسم المبارز الجرمية والامانات المضبوطة، وكانت النسبة نسبة عالية في حسم المبارز الجرمية والامانات المضبوطة، وكانت النسبة المتحققة هي (96%).,positive,0.00,1
4654,298,المتحققة هي (%).,positive,0.00,1
4655,298,عدم الجدية في حسم وانجاز المبارز الجرمية والامانات المضبوطة، وكانت النسبة المتحققة هي (%).,negative,0.00,2
4656,298,عدم حسم المبارز الجرمية والامانات المضبوطة، وكانت النسبة المتحققة هي (%).,negative,0.00,2
4713,318,يتم تفكيك شبكات تجار المخدرات عن طريق الاعترافات التي يحصل عليها من تجار المخدرات المقبوض عليهم.,positive,0.00,1
4714,318,تنظيم قاعدة بيانات خطية لمعرفة اوكار وتحركات تجار المخدرات وتثبيت المعلومات المطلوبة عنهم.,positive,0.00,1
3313,211,متابعة المجالس واللجان التحقيقية والعقوبات الانضباطية بشكل جيد.,positive,0.00,1
3314,211,غير متابعة المجالس واللجان التحقيقية والعقوبات الانضباطية,negative,0.00,2
3315,212,إجراءات مكتملة أصوليًا بشأن الغياب والهروب والمفقودات.,positive,0.00,1
3316,212,إجراءات جيدة بشأن الغياب والهروب والمفقودات.,positive,0.00,1
3317,212,إجراءات ضعيفة بشأن الغياب والهروب والمفقودات.,negative,0.00,2
3318,212,لا توجد إجراءات بشأن الغياب والهروب والمفقودات.,negative,0.00,2
3319,213,الالتزام بحقوق الإنسان والقوانين النافذة التزام كامل.,positive,0.00,1
3441,684,العمل بالهيكل التنظيمي والوصف الوظيفي والقياس. (0 د),positive,0.00,1
3442,684,لا يوجد عمل بالهيكل التنظيمي والقياسي.,negative,0.00,2
3443,684,لايوجد هيكل التنظيمي والوصف الوظيفي والقياس.,impediment,0.00,3
4657,299,تنظيم المبارز الجرمية والامانات وفق السياقات,positive,0.00,1
574,122,منظومة أجهزة الاتصالات (اللاسلكية) حديثة، وفعالة من حيث سرعة الاستجابة وجودة الإرسال والاستقبال فيما يخص أجهزة (الموتريلا) التي تؤمن الاتصال مع مقر القيادة.,positive,,1
575,122,منظومة أجهزة الاتصالات (السلكية، اللاسلكية) حديثة، وفعالة من حيث سرعة الاستجابة وجودة الإرسال والاستقبال.,positive,,1
576,122,يوجد ضعف في شبكة التغطية الخاصة بأجهزة (الهايتيرا) DMR وخصوصا داخل المباني وقلة أجهزة الاتصال الحديثة المحمولة.,impediment,,3
4658,299,عدم تنظيم المبارز الجرمية والامانات وفق السياقات الأصولية,negative,0.00,2
4659,299,وضع  البطاقة التعريفية عليها.,positive,0.00,1
4660,299,تنظيم اضبارة لكل مبرز جرمي,positive,0.00,1
4661,299,عدم تحديث السجلات الخاصة بها.,negative,0.00,2
581,124,التزام المنتسبين بالانضباط في استخدام وسائل الاتصال الرسمية وفق التعليمات، بما يحافظ على سرية المراسلات ودقة نقل المعلومات.,positive,,1
582,124,يوجد التزام للمنتسبين بالانضباط في استخدام وسائل الاتصال الرسمية وفق التعليمات.,positive,,1
583,124,عدم التزام المنتسبين بالانضباط في استخدام وسائل الاتصال الرسمية وفق التعليمات، بما يحافظ على سرية المراسلات ودقة نقل المعلومات.,negative,,2
584,125,غرفة سيطرة الاتصالات المركزية مفعلة لمتابعة تنفيذ التوجيهات الصادرة من القيادات العليا مركز الاستجابة السريعة (911) بصورة جيدة.,positive,,1
585,125,مستوى تفعيل غرفة سيطرة الاتصالات المركزية في متابعة تنفيذ التوجيهات الصادرة من القيادات العليا بمستوى وسط.,positive,,1
4662,299,عدم وضع  البطاقة التعريفية عليها.,negative,0.00,2
586,125,عدم تفعيل غرفة سيطرة الاتصالات المركزية لمتابعة تنفيذ التوجيهات الصادرة من القيادات العليا (مركز الاستجابة السريعة 911) بصورة جيدة.,negative,,2
4663,299,عدم تنظيم اضبارة لكل مبرز جرمي,negative,0.00,2
587,125,عدم تفعيل غرفة سيطرة الاتصالات المركزية لمتابعة تنفيذ التوجيهات لكونها قيد الانشاء والاعتماد على جهاز محمول لايؤمن الاتصال.,obstacle,,4
4664,299,تحديث السجلات الخاصة بها.,positive,0.00,1
4665,300,يتم العمل ببطاقة الشكوى.,positive,0.00,1
4666,300,عدم العمل ببطاقة الشكوى.,negative,0.00,2
4667,301,عدد ضباط التحقيق كافي مقارنة بالحوادث المسجلة ضمن قاطع المسؤولية.,positive,0.00,1
4668,301,عدد ضباط التحقيق غير كافي مقارنة بالحوادث المسجلة ضمن قاطع المسؤولية.,negative,0.00,2
4715,318,الاستعانة بالمصادر السرية لجمع المعلومات عن المطلوبين واماكن تواجدهم. (0 د),positive,0.00,1
4716,319,يتم تنفيذ كافة اوامر القبض بعد صدور المذكرات بحقهم.,positive,0.00,1
4890,726,وجود ضابط بديل لمدير القسم للقيام بالمهام والواجبات.,positive,0.00,1
4265,707,توفر التحصينات الأمنية للمركز (ابراج الحماية، الكاميرات، اسلحة ساندة).,positive,0.00,1
4266,707,ضعف التحصينات الأمنية للمركز (ابراج الحماية، الكاميرات، اسلحة ساندة). (0 د),negative,0.00,2
4267,707,عدم توفر التحصينات الأمنية للمركز (ابراج الحماية، الكاميرات، أسلحة ساندة). (0 د),negative,0.00,2
4717,320,عرض النشاطات اليومية ما بين القسم والشعبة في المنفذ.,positive,0.00,1
4718,320,اجراء الزيارات الميدانية من قبل المدير أو المعاون.,positive,0.00,1
4933,747,متابعة المصادر والمتعاونين بعقد لقاءات اسبوعية.,positive,0.00,1
4934,747,توفير مبالغ مالية للمصادر السرية والمتعاونين.,positive,0.00,1
4935,747,زيادة عدد المصادر بالكسب والتجنيد.,positive,0.00,1
3320,216,توفر كاميرات المراقبة (الداش كام) عدد (2) للسيارات الحديثة والتجهيزات الحديثة.,positive,0.00,1
3321,218,جاهزية أجهزة الاتصال اللاسلكي الثابتة والمحمولة مع كثرة التوقفات وغرفة السيطرة غير مكتملة مع بعض النواقص مثل الخرائط.,negative,0.00,2
3917,693,تم إجراء تدريبات عملية (محاكاة) لقياس سرعة الاستجابة والفعالية وكانت بمستوى جيد. (0 د),positive,0.00,1
4669,302,توفر ساحة نظامية لإيواء العجلات المحجوزة والسجلات الخاصة بها مدامة.,positive,0.00,1
3322,218,وجود بعض العطلات في صلاحية أنظمة الإنذار والإنارة البديلة تعمل مع بعض العطلات.,positive,0.00,1
3323,218,جاهزية أجهزة الاتصال اللاسلكي الثابتة والمحمولة.,positive,0.00,1
3324,219,غرفة السيطرة نموذجية ومجهزة بالكامل.,positive,0.00,1
3325,219,غرفة السيطرة تحتاج تحديث جزئي .,positive,0.00,1
3326,219,غرفة السيطرة غير مكتملة مع بعض النواقص.,negative,0.00,2
3327,219,عدم توفر غرفة سيطرة مع كافة ملحقاتها.,negative,0.00,2
605,130,ملاءمة المناهج والكراسات التدريبية لطبيعة واجبات المنتسبين مع مراعاة إدخال مفاهيم حقوق الإنسان.,positive,,1
